id,user_id,journey_id,created_at,updated_at,enrolling_times,enrollments_at,last_enrolled_at,study_duration,avg_submission_rating,repeat_enrollments
104582,96989,32,2020-04-11 14:39:11,2020-04-11 14:39:11,3,"2018-08-29 11:19:45,2019-02-05 09:20:57,2020-02-26 17:05:28",2020-02-26 17:05:28,44,4.5,2
30951,96989,51,2019-08-10 02:42:35,2019-08-10 02:42:35,1,2019-06-20 21:01:59,2019-06-20 21:01:59,50,3.0,0
74313,96989,74,2019-12-23 06:22:02,2019-12-23 06:22:02,2,"2019-10-29 09:34:40,2019-10-31 09:38:30",2019-10-31 09:38:30,52,2.67,1
26219,96989,83,2019-06-20 05:45:36,2019-06-20 05:45:36,1,2019-06-14 18:15:40,2019-06-14 18:15:40,5,3.0,0
23887,96989,104,2019-05-18 08:58:46,2019-05-18 08:58:46,1,2019-05-10 14:30:08,2019-05-10 14:30:08,7,4.0,0
25646,96989,123,2019-06-15 20:48:42,2019-06-15 20:48:42,2,"2019-05-18 20:06:32,2019-06-14 13:10:20",2019-06-14 13:10:20,1,5.0,1
964728,96989,144,2022-06-12 22:10:18,2022-06-12 22:10:18,1,2022-03-06 11:21:57,2022-03-06 11:21:57,98,5.0,0
115532,96989,145,2020-04-19 19:32:53,2020-04-19 19:32:53,2,"2020-02-11 10:16:34,2020-04-03 11:44:26",2020-04-03 11:44:26,16,3.0,1
76929,96989,153,2020-01-16 18:30:09,2020-01-16 18:30:09,1,2019-12-21 14:55:36,2019-12-21 14:55:36,26,2.0,0
888998,96989,163,2022-04-14 05:46:00,2022-04-14 05:46:00,2,"2020-07-22 10:38:31,2022-03-10 19:35:45",2022-03-10 19:35:45,34,5.0,1
142096,96989,169,2020-05-07 18:40:41,2020-05-07 18:40:41,1,2020-04-22 18:43:38,2020-04-22 18:43:38,14,4.0,0
208936,96989,171,2020-06-26 09:30:58,2020-06-26 09:30:58,1,2020-04-14 18:30:06,2020-04-14 18:30:06,72,4.0,0
626494,96989,191,2021-07-25 22:03:05,2021-07-25 22:03:05,1,2021-05-15 21:06:52,2021-05-15 21:06:52,71,2.0,0
996788,96989,219,2022-06-27 06:09:59,2022-06-27 06:09:59,1,2022-04-14 05:47:52,2022-04-14 05:47:52,74,4.0,0
461796,96989,251,2021-04-29 09:12:15,2024-03-14 12:20:31,1,2021-04-11 21:52:15,2021-04-11 21:52:15,17,4.0,0
842568,96989,256,2022-02-26 16:03:57,2024-03-12 09:36:26,1,2022-02-18 20:22:30,2022-02-18 20:22:30,7,5.0,0
850798,96989,261,2022-03-06 16:11:04,2024-03-13 16:49:04,1,2022-03-05 21:55:22,2022-03-05 21:55:22,0,5.0,0
611190,96989,266,2021-07-20 21:25:59,2021-07-20 21:25:59,1,2021-06-16 12:27:22,2021-06-16 12:27:22,34,3.0,0
855798,96989,315,2022-03-10 19:26:21,2022-03-10 19:26:21,2,"2022-03-07 21:05:47,2022-03-07 21:06:47",2022-03-07 21:06:47,2,4.0,1
891438,96989,337,2022-04-17 14:31:39,2022-04-17 14:31:39,1,2022-04-17 13:10:00,2022-04-17 13:10:00,0,2.0,0
850148,96989,342,2022-03-05 21:36:40,2024-03-14 08:45:09,1,2022-02-26 15:34:46,2022-02-26 15:34:46,7,5.0,0
1391385,96989,382,2023-01-08 20:23:04,2023-01-08 20:23:04,1,2022-11-02 11:17:29,2022-11-02 11:17:29,67,1.0,0
915213,96989,403,2022-05-17 13:23:15,2022-05-17 13:23:15,1,2022-05-16 17:17:03,2022-05-16 17:17:03,0,4.0,0
1143185,96989,413,2022-08-26 11:25:33,2022-08-26 11:25:33,1,2022-08-18 11:58:10,2022-08-18 11:58:10,7,4.5,0
1411200,96989,418,2023-01-27 09:43:17,2023-01-27 09:43:17,1,2022-11-14 12:08:26,2022-11-14 12:08:26,73,4.5,0
2617753,96989,610,2024-03-15 13:57:23,2024-03-15 13:57:23,1,2023-12-21 11:22:17,2023-12-21 11:22:17,85,5.0,0
3768632,96989,881,2025-09-28 19:50:32,2025-09-28 19:50:32,1,2025-09-27 13:47:36,2025-09-27 13:47:36,1,5.0,0
433180,938276,14,2021-04-13 12:55:26,2021-04-13 12:55:26,1,2021-03-09 20:56:40,2021-03-09 20:56:40,34,4.0,0
395152,938276,51,2021-03-06 17:47:33,2021-03-06 17:47:33,1,2021-03-01 13:28:31,2021-03-01 13:28:31,5,5.0,0
348771,938276,74,2020-11-19 12:13:36,2020-11-19 12:13:36,1,2020-10-03 18:29:37,2020-10-03 18:29:37,46,4.33,0
381397,938276,80,2021-02-24 10:00:29,2021-02-24 10:00:29,1,2021-02-16 17:43:35,2021-02-16 17:43:35,7,4.0,0
187377,938276,123,2020-06-09 09:09:52,2020-06-09 09:09:52,1,2020-06-02 13:20:57,2020-06-02 13:20:57,6,5.0,0
496904,938276,129,2021-05-24 14:06:00,2021-05-24 14:06:00,1,2021-04-14 09:00:08,2021-04-14 09:00:08,40,4.33,0
1302525,938276,133,2022-11-07 03:11:52,2022-11-07 03:11:52,1,2022-09-02 16:17:10,2022-09-02 16:17:10,65,5.0,0
259084,938276,163,2020-08-13 21:16:17,2020-08-13 21:16:17,2,"2020-06-08 09:35:28,2020-07-25 15:50:02",2020-07-25 15:50:02,19,5.0,1
535457,938276,165,2021-06-15 18:23:19,2021-06-15 18:23:19,1,2021-05-16 04:18:20,2021-05-16 04:18:20,30,3.5,0
384007,938276,169,2021-02-25 20:50:01,2021-02-25 20:50:01,1,2021-02-24 09:26:02,2021-02-24 09:26:02,1,4.0,0
645274,938276,219,2021-07-30 07:33:52,2021-07-30 07:33:52,1,2021-04-30 10:28:26,2021-04-30 10:28:26,90,3.33,0
3518837,938276,261,2025-03-04 17:12:38,2025-03-04 17:12:38,1,2025-02-09 21:22:01,2025-02-09 21:22:01,22,5.0,0
3658586,938276,271,2025-06-05 17:01:27,2025-06-05 17:01:27,1,2025-04-28 13:18:41,2025-04-28 13:18:41,38,4.0,0
408737,938276,297,2021-03-21 13:49:59,2021-03-21 13:49:59,1,2021-02-20 18:45:13,2021-02-20 18:45:13,28,3.0,0
409162,938276,302,2021-03-22 06:49:49,2021-03-22 06:49:49,1,2021-02-20 18:45:04,2021-02-20 18:45:04,29,3.0,0
1165325,938276,337,2022-09-02 15:16:08,2022-09-02 15:16:08,1,2022-08-26 15:53:48,2022-08-26 15:53:48,6,3.0,0
2860643,938276,403,2024-07-22 13:45:31,2024-07-22 13:45:31,2,"2022-05-16 06:01:46,2024-07-09 12:53:57",2024-07-09 12:53:57,13,4.0,1
2896103,938276,413,2024-08-25 10:36:26,2024-08-25 10:36:26,1,2024-07-21 14:12:23,2024-07-21 14:12:23,34,5.0,0
2577318,938276,610,2024-03-03 11:54:42,2024-03-03 11:54:42,1,2024-02-09 00:08:36,2024-02-09 00:08:36,23,5.0,0
3798194,5021477,251,2025-10-08 13:14:07,2025-10-08 13:14:07,1,2025-10-06 09:13:48,2025-10-06 09:13:48,2,4.0,0
3734378,5044844,123,2025-08-30 15:56:35,2025-08-30 15:56:35,1,2025-08-08 14:57:36,2025-08-08 14:57:36,22,4.0,0
3809474,5044844,163,2025-10-14 13:13:39,2025-10-14 13:13:39,1,2025-08-08 14:57:36,2025-08-08 14:57:36,66,4.5,0
3724145,5044844,237,2025-08-24 22:04:21,2025-08-24 22:04:21,1,2025-08-08 14:57:36,2025-08-08 14:57:36,16,3.0,0
3743432,5044844,256,2025-09-09 17:59:55,2025-09-09 17:59:55,1,2025-08-08 14:57:36,2025-08-08 14:57:36,32,5.0,0
3722393,5044844,302,2025-08-23 21:26:13,2025-08-23 21:26:13,1,2025-08-08 14:57:36,2025-08-08 14:57:36,15,4.0,0
