id,name,difficulty,hours_to_study,point,xp,created_at
14,Belajar Fundamental Aplikasi Android,2,140,0,2200,2016-09-21 00:48:38
51,Belajar Membuat Aplikasi Android untuk Pemula,1,60,0,400,2017-09-05 19:56:12
80,Memulai Pemrograman dengan Kotlin,0,50,0,400,2018-08-01 09:55:22
86,Memulai Pemrograman dengan Python,0,60,0,879,2018-08-13 09:47:35
123,Belajar Dasar Pemrograman Web,0,45,0,400,2019-04-15 15:02:41
133,Menjadi Google Cloud Engineer,2,42,0,1100,2019-05-28 13:42:59
145,Memulai Pemrograman Dengan Swift,0,40,0,400,2019-09-10 13:36:33
159,Belajar Membuat Aplikasi Flutter untuk Pemula,0,40,0,400,2020-01-16 16:34:08
163,Belajar Fundamental Front-End Web Development,0,80,0,400,2020-01-31 10:02:09
165,Menjadi Android Developer Expert,0,90,0,1100,2020-02-10 09:47:25
171,Belajar Membuat Aplikasi iOS untuk Pemula,0,40,0,400,2020-03-11 14:39:25
177,Belajar Dasar Visualisasi Data,0,16,0,400,2020-03-19 12:05:58
184,Belajar Machine Learning untuk Pemula,0,90,0,1199,2020-03-19 12:08:12
185,Belajar Fundamental Deep Learning,0,110,0,3279,2020-03-19 13:34:07
191,Memulai Pemrograman dengan Dart,0,30,0,400,2020-03-19 13:36:15
195,Belajar Fundamental Aplikasi Flutter,0,90,0,2200,2020-03-19 13:40:06
199,Menjadi Flutter Developer Expert,0,85,0,1100,2020-03-19 13:41:34
202,Belajar Fundamental Aplikasi iOS,0,70,0,2200,2020-03-19 14:09:49
209,Menjadi iOS Developer Expert,0,70,0,1100,2020-03-19 14:11:16
219,Belajar Pengembangan Web Intermediate,0,80,0,1100,2020-03-23 22:56:28
251,Belajar Dasar Cloud dan Gen AI di AWS,0,18,0,879,2020-12-08 14:58:50
256,Belajar Dasar Pemrograman JavaScript,0,46,0,879,2020-12-08 15:32:27
261,Belajar Back-End Pemula dengan JavaScript,0,50,0,879,2020-12-08 15:34:23
266,Architecting on AWS (Membangun Arsitektur Cloud di AWS),0,40,0,1119,2020-12-08 15:35:42
271,Belajar Fundamental Back-End dengan JavaScript,0,90,0,2229,2020-12-08 15:36:35
276,Menjadi Back-End Developer Expert dengan JavaScript,0,82,0,3279,2020-12-08 15:37:36
281,Simulasi Ujian Associate Cloud Engineer,0,25,0,0,2020-12-28 12:38:15
292,Meniti Karier sebagai Software Developer,0,7,0,400,2021-01-19 15:49:46
302,Pengenalan ke Logika Pemrograman (Programming Logic 101),0,6,0,400,2021-01-25 10:54:00
315,Belajar Membuat Front-End Web untuk Pemula,0,45,0,400,2021-04-12 10:21:26
317,Belajar Dasar Git dengan GitHub,0,15,0,400,2021-04-29 11:33:12
319,Machine Learning Terapan,0,80,0,3279,2021-04-29 11:44:41
332,Menjadi Google Cloud Architect,0,35,0,2229,2021-07-12 11:27:31
335,Belajar Dasar UX Design,0,36,0,400,2021-07-21 16:29:03
337,Belajar Dasar Google Cloud,0,12,0,879,2021-08-27 10:58:10
342,Belajar Membuat Aplikasi Back-End untuk Pemula dengan Google Cloud,0,45,0,879,2021-10-07 11:49:00
352,Belajar Pengembangan Aplikasi Android Intermediate,0,150,0,3279,2021-10-18 09:25:53
382,Belajar Dasar-Dasar DevOps,0,15,0,679,2021-12-29 13:20:02
387,Belajar Jaringan Komputer untuk Pemula,0,25,0,879,2021-12-30 13:02:32
403,Belajar Membuat Aplikasi Web dengan React,0,35,0,879,2022-03-07 10:44:51
413,Belajar Fundamental Aplikasi Web dengan React,0,55,0,2229,2022-05-10 09:31:04
418,Menjadi React Web Developer Expert,0,70,0,3279,2022-05-10 09:33:16
423,Menjadi Linux System Administrator,0,25,0,2229,2022-05-17 09:20:59
428,Belajar Implementasi CI/CD,0,30,0,2229,2022-05-17 09:23:14
433,Belajar Membangun Arsitektur Microservices,0,60,0,3279,2022-05-17 09:25:02
443,Machine Learning Operations (MLOps),0,80,0,3279,2022-05-30 09:42:23
445,Belajar Membuat Aplikasi Android dengan Jetpack Compose,0,50,0,3279,2022-07-18 10:47:47
480,Belajar Pengembangan Aplikasi Flutter Intermediate,0,80,0,3279,2022-08-03 11:51:37
555,Belajar Analisis Data dengan Python,0,70,0,1119,2022-12-27 16:41:22
565,Belajar Toolset untuk Pengembangan Front-End Web,0,65,0,3279,2023-01-10 16:53:05
580,Belajar Pemrograman Fungsional dengan Haskell,0,20,0,879,2023-03-13 11:42:48
590,Belajar Penerapan Data Science,0,110,0,3279,2023-04-13 11:17:08
600,Belajar Dasar Structured Query Language (SQL),0,11,0,879,2023-04-18 08:19:40
610,Menjadi Node.js Application Developer,0,57,0,1119,2023-06-05 12:01:03
