id,developer_journey_id,title,type,position,status
1,2,Modul 1 : Activity,quiz,1,1
2,2,Modul 2 : Intent,quiz,2,1
3,2,Modul 3 : Fragment,quiz,3,1
4,2,Modul 4 : Flexible UI,quiz,4,1
7,5,Modul 1 : Android Layout,quiz,1,1
8,5,Modul 2 : Simple Listview,quiz,2,1
17,5,"Modul 3 : Custom Listview, Swipe Refresh, and Load More",quiz,3,1
18,5,Modul 4 : Custom Adapter Listview,quiz,4,1
19,4,Berkenalan dengan NDK di Android Studio,article,1,1
20,6,Modul 1: Pengenalan Intel XDK,article,1,1
21,6,Modul 2: Hello World,article,2,1
24,6,Modul 3: UI Pada Intel XDK,article,3,1
26,6,Modul 4: Embeded Audio dan Video,article,4,1
27,6,Modul 5: JSON dan Web Service,article,5,1
28,6,Modul 6:  Tips Optimasi Performa Aplikasi dan Publish,article,6,1
29,6,Tugas Akhir,quiz,7,1
30,7,Pengenalan AppInventor,quiz,1,1
31,7,"Manipulasi Button, Teks, dan Label",quiz,2,1
32,7,Sound dan Music Player,quiz,3,1
33,7,Mengirim SMS,quiz,4,1
34,7,Menerima SMS,quiz,5,1
35,7,GPS dan Lokasi,quiz,6,1
36,7,Implementasi SMS dan Lokasi,quiz,7,1
37,7,Lokasi Saat Ini di Maps App,quiz,8,1
38,7,Layout dan List (bagian 1),quiz,9,1
39,7,List (bagian 2),quiz,10,1
40,7,TinyDB,quiz,11,1
41,7,TwitterApp,quiz,12,1
42,7,Consume API (bagian 1),quiz,13,1
43,7,Consume API (bagian 2),quiz,14,1
45,9,Pengenalan UI Unity,article,1,1
46,9,Scripting,article,2,1
47,9,Hello World,article,3,1
48,9,Game Object,article,4,1
49,9,Input Keyboard,article,5,1
50,9,Input Mobile,article,6,1
51,9,Sprite,article,7,1
52,9,2d Physics,article,8,1
53,9,Quiz 1,quiz,9,1
77,11,Pengenalan Intel Galileo,article,1,1
78,11,Instalasi Driver dan Arduino IDE,article,2,1
79,11,Firmware Update (opsional),article,3,1
